name,position,class_year,school,external_id,scoring_date,career_yprr,best_yprr,receiving_yprr,yards_after_contact_per_attempt,missed_tackles_per_attempt,ras
Eric Gray,RB,2023,Oklahoma,00-0038396,2023-04-30,,,,,,
Evan Hull,RB,2023,Northwestern,00-0038397,2023-04-30,,,,,,
Chris Rodriguez,RB,2023,Kentucky,00-0038611,2023-04-30,,,,,,
Deuce Vaughn,RB,2023,Kansas St.,00-0038622,2023-04-30,,,,,,
Zach Evans,RB,2023,Mississippi,00-0039136,2023-04-30,,,,,,
DeWayne McBride,RB,2023,Ala-Birmingham,00-0039046,2023-04-30,,,,,,
Lew Nichols,RB,2023,Central Michigan,00-0038409,2023-04-30,,,,,,
Kenny McIntosh,RB,2023,Georgia,00-0038636,2023-04-30,,,,,,
Jaxon Smith-Njigba,WR,2023,Ohio St.,00-0038543,2023-04-30,,,,,,
Quentin Johnston,WR,2023,TCU,00-0038544,2023-04-30,,,,,,
Zay Flowers,WR,2023,Boston Col.,00-0039064,2023-04-30,,,,,,
Jordan Addison,WR,2023,USC,00-0038994,2023-04-30,,,,,,
Jonathan Mingo,WR,2023,Mississippi,00-0039062,2023-04-30,,,,,,
Jayden Reed,WR,2023,Michigan St.,00-0039146,2023-04-30,,,,,,
Rashee Rice,WR,2023,SMU,00-0039067,2023-04-30,,,,,,
Marvin Mims,WR,2023,Oklahoma,00-0038976,2023-04-30,,,,,,
Tank Dell,WR,2023,Houston,00-0038977,2023-04-30,,,,,,
Nathaniel Dell,WR,2023,Houston,DellNa00,2023-04-30,,,,,,
Jalin Hyatt,WR,2023,Tennessee,00-0038938,2023-04-30,,,,,,
Cedric Tillman,WR,2023,Tennessee,00-0038979,2023-04-30,,,,,,
Josh Downs,WR,2023,North Carolina,00-0038997,2023-04-30,,,,,,
Michael Wilson,WR,2023,Stanford,00-0038559,2023-04-30,,,,,,
Tre Tucker,WR,2023,Cincinnati,00-0038563,2023-04-30,,,,,,
Derius Davis,WR,2023,TCU,00-0038573,2023-04-30,,,,,,
Charlie Jones,WR,2023,Purdue,00-0038576,2023-04-30,,,,,,
Tyler Scott,WR,2023,Cincinnati,00-0038941,2023-04-30,,,,,,
Justin Shorter,WR,2023,Florida,00-0038590,2023-04-30,,,,,,
Dontayvion Wicks,WR,2023,Virginia,00-0038393,2023-04-30,,,,,,
Puka Nacua,WR,2023,BYU,00-0039075,2023-04-30,,,,,,
Parker Washington,WR,2023,Penn St.,00-0038606,2023-04-30,,,,,,
Kayshon Boutte,WR,2023,LSU,00-0038608,2023-04-30,,,,,,
Trey Palmer,WR,2023,Nebraska,00-0039052,2023-04-30,,,,,,
A.T. Perry,WR,2023,Wake Forest,00-0038612,2023-04-30,,,,,,
Elijah Higgins,WR,2023,Stanford,00-0039041,2023-04-30,,,,,,
Xavier Hutchinson,WR,2023,Iowa St.,00-0038618,2023-04-30,,,,,,
Andrei Iosivas,WR,2023,Princeton,00-0038619,2023-04-30,,,,,,
DeMario Douglas,WR,2023,Liberty,00-0038621,2023-04-30,,,,,,
Antoine Green,WR,2023,North Carolina,00-0038627,2023-04-30,,,,,,
Colton Dowell,WR,2023,UT Martin,00-0038632,2023-04-30,,,,,,
Jalen Brooks,WR,2023,South Carolina,00-0038640,2023-04-30,,,,,,
Ronnie Bell,WR,2023,Michigan,00-0038647,2023-04-30,,,,,,
Grant Dubose,WR,2023,Charlotte,00-0038507,2023-04-30,,,,,,
Jonathon Brooks,RB,2024,Texas,00-0039344,2024-04-30,,,,,,
Trey Benson,RB,2024,Florida St.,00-0039921,2024-04-30,,,,,,
Blake Corum,RB,2024,Michigan,00-0039738,2024-04-30,,,,,,
MarShawn Lloyd,RB,2024,USC,00-0039811,2024-04-30,,,,,,
Jaylen Wright,RB,2024,Tennessee,00-0039874,2024-04-30,,,,,,
Bucky Irving,RB,2024,Oregon,00-0039361,2024-04-30,,,,,,
Will Shipley,RB,2024,Clemson,00-0039746,2024-04-30,,,,,,
Ray Davis,RB,2024,Kentucky,00-0039875,2024-04-30,,,,,,
