name,position,class_year,school,external_id,scoring_date,draft_round,overall_pick,nfl_team,pass_play_usage,best_pass_play_usage,receiving_ppa,career_receiving_ppa,best_receiving_ppa,rushing_ppa,career_rushing_ppa,best_rushing_ppa,career_yprr,best_yprr,target_share,receiving_yard_share,age_at_draft,early_declare,ras,bmi,speed_score,recruiting_rating,conference_strength,scrimmage_yards_per_game,rushing_yard_share,yards_after_contact_per_attempt,missed_tackles_per_attempt,receptions_per_game,receiving_yprr
Gary Brightwell,RB,2021,Arizona,00-0036569,2021-04-30,6,196,NYG,0.078,0.078,-0.012,0.0023333333333333387,0.372,-0.071,0.15133333333333335,0.416,,,,0.054460093896713614,22,,,31.276326530612245,95.70146522641377,0.8206,80,88.8,0.4557260920897285,,,2.6,
Larry Rountree,RB,2021,Missouri,00-0036650,2021-04-30,6,198,LAC,0.054,0.054,-0.099,0.18550000000000003,0.675,0.089,0.10600000000000001,0.163,,,,0.03763643206624012,22,,,,,0.8458,100,107.2,0.7002881844380403,,,1.5,
Chris Evans,RB,2021,Michigan,00-0036857,2021-04-30,6,202,CIN,0.046,0.072,0.631,0.7635000000000001,1.359,0.267,0.17525000000000002,0.267,,,,0.05792276964047936,23,,,29.42531243800833,102.91114159426917,0.8938,100,26.666666666666668,0.09217171717171717,,,1.5,
Demetric Felton,RB,2021,UCLA,00-0036654,2021-04-30,6,211,CLE,0.146,0.149,0.507,-0.004500000000000004,0.507,0.135,0.11125,0.62,,,,0.10120942075111394,23,,,28.734212802768166,88.19545664779892,0.8869,80,118.14285714285714,0.4021673690547863,,,3.142857142857143,
Khalil Herbert,RB,2021,Virginia Tech,00-0036906,2021-04-30,6,217,CHI,0.057,0.057,0.629,0.060399999999999995,0.629,0.288,0.1588,0.292,,,,0.08121597096188747,23,,,31.92690311418685,106.14752089446318,0.8008,85,123.81818181818181,0.4454066265060241,,,0.9090909090909091,
Jake Funk,RB,2021,Maryland,00-0036860,2021-04-30,7,233,LAR,0.083,0.083,0.409,0.8032,2.278,0.374,0.010000000000000009,0.505,,,,0.053208137715179966,23,,,29.267755102040816,100.38638127398183,0.8303,100,115.8,0.7107093184979137,,,2,
Gerrid Doaks,RB,2021,Cincinnati,00-0036578,2021-04-30,7,244,MIA,0.064,0.064,0.458,0.49533333333333335,0.592,0.053,0.12566666666666668,0.249,,,,0.08466051969823973,23,,,,,0.8481,65,97.22222222222223,0.3158141717503519,,,1.5555555555555556,
Kylin Hill,RB,2021,Mississippi St.,00-0036669,2021-04-30,7,256,GNB,0.141,0.141,0.462,0.4625,0.907,-0.089,0.10500000000000001,0.22,,,,0.07272169377109543,23,,,30.702448979591836,103.45169279930268,0.9216,100,29.5,0.11068702290076336,,,2.3,
Jermar Jefferson,RB,2021,Oregon St.,00-0036670,2021-04-30,7,257,DET,0.054,0.068,0.307,0.3466666666666667,0.526,0.209,0.17166666666666666,0.209,,,,0.045300878972278566,21,,,29.55469387755102,94.45662323297891,0.8619,80,132.14285714285714,0.6150537634408603,,,1.2857142857142858,
Ja'Marr Chase,WR,2021,LSU,00-0036900,2021-04-30,1,5,CIN,0.211,0.211,1.09,0.896,1.09,-0.739,-0.739,-0.739,,,,0.2954847277556441,21,,,27.25752314814815,113.30971182645204,0.9589,100,137.30769230769232,0.001970831690973591,,,6.461538461538462,
Jaylen Waddle,WR,2021,Alabama,00-0036613,2021-04-30,1,6,MIA,0.18,0.18,1.479,1.256,1.479,0.178,0.11049999999999999,0.178,,,,0.12693298969072164,22,,,,,0.9791,100,54.81818181818182,0.005,,,2.5454545454545454,
DeVonta Smith,WR,2021,Alabama,00-0036912,2021-04-30,1,10,PHI,0.326,0.326,1.055,0.92225,1.087,0.235,-0.7173333333333334,0.235,,,,0.39862542955326463,22,,,,,0.9717,100,169.27272727272728,0.0025,,,10.636363636363637,
Kadarius Toney,WR,2021,Florida,00-0036913,2021-04-30,1,20,NYG,0.19,0.19,0.892,0.647,0.892,0.359,0.31675,0.551,,,,0.2165969623596742,22,,,26.915096211069233,103.92719928057679,0.8822,100,104.0909090909091,0.10094043887147336,,,6.363636363636363,
Rashod Bateman,WR,2021,Minnesota,00-0036550,2021-04-30,1,27,BAL,0.372,0.372,0.671,0.7143333333333333,1.111,,,,,,,0.3385939741750359,21,,,25.765817901234566,102.31175058709631,0.8914,100,67.42857142857143,,,,5.142857142857143,
Elijah Moore,WR,2021,Mississippi,00-0036980,2021-04-30,2,34,NYJ,0.334,0.334,0.878,0.617,0.878,0.089,-0.3153333333333334,0.089,,,,0.34579710144927533,21,,,,,0.9285,100,139.66666666666666,0.029547553093259463,,,9.555555555555555,
Rondale Moore,WR,2021,Purdue,00-0036936,2021-04-30,2,49,ARI,0.344,0.344,0.317,0.48733333333333334,0.616,0.551,0.15833333333333335,0.551,,,,0.14563106796116504,21,,,28.188906215192695,107.28213919418322,0.9123,100,50.333333333333336,0.064,,,5.833333333333333,
