name,position,class_year,school,external_id,scoring_date,early_declare
Rome Odunze,WR,2024,Washington,00-0039919,2024-04-30,false
Brian Thomas,WR,2024,LSU,00-0039893,2024-04-30,true
Xavier Worthy,WR,2024,Texas,00-0039894,2024-04-30,true
Ricky Pearsall,WR,2024,Florida,00-0039916,2024-04-30,false
Xavier Legette,WR,2024,South Carolina,00-0039342,2024-04-30,false
Keon Coleman,WR,2024,Florida St.,00-0039901,2024-04-30,true
Ladd McConkey,WR,2024,Georgia,00-0039915,2024-04-30,false
Ja'Lynn Polk,WR,2024,Washington,00-0039907,2024-04-30,true
Adonai Mitchell,WR,2024,Texas,00-0039890,2024-04-30,true
Malachi Corley,WR,2024,Western Kentucky,00-0039920,2024-04-30,false
Jermaine Burton,WR,2024,Alabama,00-0039810,2024-04-30,false
Roman Wilson,WR,2024,Michigan,00-0039739,2024-04-30,false
Jalen McMillan,WR,2024,Washington,00-0039855,2024-04-30,false
Luke McCaffrey,WR,2024,Rice,00-0039355,2024-04-30,false
Troy Franklin,WR,2024,Oregon,00-0039868,2024-04-30,true
Javon Baker,WR,2024,Central Florida,00-0039853,2024-04-30,false
Devontez Walker,WR,2024,North Carolina,00-0039792,2024-04-30,false
Jacob Cowing,WR,2024,Arizona,00-0039365,2024-04-30,false
Anthony Gould,WR,2024,Oregon St.,00-0039816,2024-04-30,false
Ainias Smith,WR,2024,Texas A&M,00-0039747,2024-04-30,false
Jamari Thrash,WR,2024,Louisville,00-0039379,2024-04-30,false
Bub Means,WR,2024,Pittsburgh,00-0039386,2024-04-30,false
Jha'Quan Jackson,WR,2024,Tulane,00-0039392,2024-04-30,false
Malik Washington,WR,2024,Virginia,00-0039880,2024-04-30,false
Johnny Wilson,WR,2024,Florida St.,00-0039236,2024-04-30,false
Casey Washington,WR,2024,Illinois,00-0039394,2024-04-30,false
Tejhaun Palmer,WR,2024,Ala-Birmingham,00-0039397,2024-04-30,false
Jordan Whittington,WR,2024,Texas,00-0039751,2024-04-30,false
Ryan Flournoy,WR,2024,SE Missouri St.,00-0039410,2024-04-30,false
Brenden Rice,WR,2024,USC,00-0039415,2024-04-30,false
Devaughn Vele,WR,2024,Utah,00-0039424,2024-04-30,false
Tahj Washington,WR,2024,USC,00-0039884,2024-04-30,false
Cornelius Johnson,WR,2024,Michigan,00-0039437,2024-04-30,false
